title,year,rating,votes,image_url
Cadena perpetua,1994,9.3,3200000,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
El padrino,1972,9.2,2200000,"https://m.media-amazon.com/images/M/MV5BNTljNjllNDAtMzc0MS00ZGExLThlOTktOTRlNzc3YjA3ZWFlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
El caballero oscuro,2008,9.1,3100000,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
El padrino parte II,1974,9.0,1500000,"https://m.media-amazon.com/images/M/MV5BMjQ5MzQxZTEtMmE1Yy00NjZlLTk5ODItNjI3MWIxMjk1M2U5XkEyXkFqcGc@._V1_QL75_UY133_CR7,0,90,133_.jpg"
12 hombres sin piedad,1957,9.0,972000,"https://m.media-amazon.com/images/M/MV5BYThhOGFhODktNGEwNi00MzY2LTg3YWYtNzAzZTE0MTFlMWQxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
El señor de los anillos: El retorno del rey,2003,9.0,2100000,"https://m.media-amazon.com/images/M/MV5BZGEzZDkzNDgtMGMzZi00NjNhLTliNWMtMTllYzQ2OTQwNGFkXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg"
La lista de Schindler,1993,9.0,1600000,"https://m.media-amazon.com/images/M/MV5BZWUyNTJmOTMtZGM4MC00NWE2LThmZTUtZWE1NGM2YzYwZjRlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
El señor de los anillos: La comunidad del anillo,2001,8.9,2200000,"https://m.media-amazon.com/images/M/MV5BNDM0ZTRjNDAtMWFiOS00MjZiLThhZjYtNGQ0ODQ5MGE3Y2Y0XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
Pulp Fiction,1994,8.8,2400000,"https://m.media-amazon.com/images/M/MV5BMzNlNGRkZWYtNmE0Yy00NjQyLWFmMzItYWY5NGM2YWU4OWYwXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg"
"El bueno, el feo y el malo",1966,8.8,884000,"https://m.media-amazon.com/images/M/MV5BN2FmNmM5OTUtODEwMC00NDE5LWI4ZTUtZTg1ZmZlYjVjN2EyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
El señor de los anillos: Las dos torres,2002,8.8,1900000,"https://m.media-amazon.com/images/M/MV5BNjJhZjZlNjktZTEwYi00MmMwLTgyYTgtYmMyMmRlOWMzNmRjXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg"
Forrest Gump,1994,8.8,2500000,"https://m.media-amazon.com/images/M/MV5BOWQ0NzQ5MDItYTA3Yy00Y2ZjLWFlMGQtNjcxYzU4MWM3NzFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
El club de la lucha,1999,8.8,2600000,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Origen,2010,8.8,2800000,"https://m.media-amazon.com/images/M/MV5BNTQxYmM1NzQtY2FiZS00MzRhLTljZDYtZjRmMGNiMWI3NTQxXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
El imperio contraataca,1980,8.7,1500000,"https://m.media-amazon.com/images/M/MV5BZWQyNTJkMTAtZWQ0Zi00NGFlLWI2ZDktNTA4MzM5NDQ0MTk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
Matrix,1999,8.7,2200000,"https://m.media-amazon.com/images/M/MV5BNGE1YzI4NzMtZTUxNi00Y2I5LTg2MmQtODE0NThmYTFmMDk0XkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg"
Uno de los nuestros,1990,8.7,1400000,"https://m.media-amazon.com/images/M/MV5BYTE0MmJhNGUtZDI5My00YThhLTk1NmItNDExOWUxMjg1YzUxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Interstellar,2014,8.7,2500000,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Alguien voló sobre el nido del cuco,1975,8.6,1100000,"https://m.media-amazon.com/images/M/MV5BYjdkNjdlNDgtZTM1My00YzEwLTk5YjItYjE3YzllZTViNTVlXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Seven,1995,8.6,2000000,"https://m.media-amazon.com/images/M/MV5BMjk4YWQ5YTItZTk2OS00MTcxLWIwNjctZjE3NzNhNjQzZjI2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Qué bello es vivir,1946,8.6,551000,"https://m.media-amazon.com/images/M/MV5BNzg5YjAwODItZmNiNC00OGEwLWIzYmMtNzc3ZTc5MmM4NDc0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
El silencio de los corderos,1991,8.6,1700000,"https://m.media-amazon.com/images/M/MV5BOGZiZjYxY2UtNDE5YS00NzcwLWI0NmItNjcwYThkOWMwYTdhXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Los siete samuráis,1954,8.6,399000,"https://m.media-amazon.com/images/M/MV5BYzc0ODMyMzctZTA5Zi00MGZhLWE0NTItZjJhOTE3OWMxZjBlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
Salvar al soldado Ryan,1998,8.6,1600000,"https://m.media-amazon.com/images/M/MV5BMzU0YTgzM2EtYWNmMy00NWM1LWE0NTMtYjFhZDNlMDU1NWJmXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
La milla verde,1999,8.6,1500000,"https://m.media-amazon.com/images/M/MV5BM2VlMDA2NWYtYzQxZi00NGIyLTk0OTYtMGY3ODFmOGFhMTI3XkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg"
